month,cty_code,country,gen_val_usd,gen_qty,qty_unit,con_val_usd,hts
2024-11,0026,APEC,9024192,42206,NO,10816546,7104911000
2024-11,0027,ASEAN,8041060,22567,NO,9833414,7104911000
2024-11,1220,CANADA,777627,405,NO,777627,7104911000
2024-11,7910,SOUTH AFRICA,0,0,NO,0,7104911000
2024-11,7920,NAMIBIA,0,0,NO,0,7104911000
2024-11,7930,BOTSWANA,0,0,NO,0,7104911000
2024-12,5200,UNITED ARAB EMIRATES,3007,6,NO,3007,7104911000
2024-12,5330,INDIA,73114306,3316201,NO,70618927,7104911000
2024-12,5490,THAILAND,699549,3973,NO,1320566,7104911000
2024-12,5520,VIETNAM,0,0,NO,0,7104911000
2024-12,5530,LAOS,111741,4483,NO,111741,7104911000
2024-12,5590,SINGAPORE,5452,1,NO,5452,7104911000
2024-12,5600,INDONESIA,82433,95995,NO,82433,7104911000
2024-12,5700,CHINA,53535,500,NO,53535,7104911000
2024-12,5820,HONG KONG,96959,264,NO,96959,7104911000
2024-12,5880,JAPAN,0,0,NO,0,7104911000
2024-12,6021,AUSTRALIA,0,0,NO,0,7104911000
2024-12,6141,NEW ZEALAND,0,0,NO,0,7104911000
2024-12,4120,UNITED KINGDOM,32657,58,NO,32657,7104911000
2024-12,4210,NETHERLANDS,73907,208,NO,73907,7104911000
2024-12,4231,BELGIUM,0,0,NO,0,7104911000
2024-12,4280,GERMANY,0,0,NO,0,7104911000
2024-12,4330,AUSTRIA,11943,183850,NO,11943,7104911000
2024-12,4419,SWITZERLAND,3000,3,NO,3000,7104911000
2024-12,4631,ARMENIA,0,0,NO,0,7104911000
2024-12,4759,ITALY,0,0,NO,0,7104911000
2024-12,4890,TURKEY,32356,11946,NO,32356,7104911000
2024-12,5081,ISRAEL,626606,10085,NO,626606,7104911000
2024-12,-,TOTAL FOR ALL COUNTRIES,75411039,3629755,NO,73550116,7104911000
2024-12,0003,EUROPEAN UNION,85850,184058,NO,85850,7104911000
2024-12,1XXX,NORTH AMERICA,463588,2182,NO,477027,7104911000
2024-12,4XXX,EUROPE,153863,196065,NO,153863,7104911000
2024-12,7XXX,AFRICA,0,0,NO,0,7104911000
